anbefalt_term:en;anbefalt_term:nn;anbefalt_term:nb;tillatt_term:nb;tillatt_term:nn;tillatt_term:en;frarådet_term:nb;frarådet_term:nn;frarådet_term:en;definisjon:nb;definisjon:nn;definisjon:en;definisjon:forhold_til_kilde;definisjon:kilde;definisjon:kilde;definisjon_for_allmennheten:nb;definisjon_for_allmennheten:nn;definisjon_for_allmennheten:en;definisjon_for_allmennheten:forhold_til_kilde;definisjon_for_allmennheten:kilde;definisjon_for_allmennheten:kilde;definisjon_for_spesialister:nb;definisjon_for_spesialister:nn;definisjon_for_spesialister:en;definisjon_for_spesialister:forhold_til_kilde;definisjon_for_spesialister:kilde;definisjon_for_spesialister:kilde;merknad:nb;merknad:nn;merknad:en;eksempel:nb;eksempel:nn;eksempel:en;fagområde:nb;fagområde:nn;fagområde:en;verdiområde:uri;verdiområde:tekst;kontaktpunkt:epost;kontaktpunkt:telefon;gyldig_fom;gyldig_tom;se_også;versjon
anbefalt term 23_en;anbefalt term 23_nn;anbefalt term 23_nb;tillatt term 23_nb;tillatt term 23_nn;tillatt term 23_en;frarådet term 23_nb;frarådet term 23_nn;frarådet term 23_en;definisjon 23_nb;definisjon 23_nn;definisjon 23_en;sitatFraKilde;Tittel på kilde|http://kildesitaturi.no/;Tittel på kilde nr. 2|http://kildesitaturi2.no/;definisjon for allmennheten 23_nb;definisjon for allmennheten 23_nn;definisjon for allmennheten 23_en;sitatFraKilde;Tittel på kilde_allmennheten|http://kildesitatallmennhetenuri.no/;Tittel på kilde nr. 2_allmennheten|http://kildesitatallmennhetenuri2.no/;definisjon for spesialister 23_nb;definisjon for spesialister 23_nn;definisjon_for_spesialister23_en;sitatFraKilde;Tittel på kilde_spesialister|http://kildesitatspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildesitatspesialisteruri2.no/;merknad23_nb;merknad23_nn;merknad23_en;eksempel23_nb;eksempel23_nn;eksempel23_en;fagområde12_nb;fagområde12_nn;fagområde12_en;http://lenketilverdiomraade23.no;Tittel verdiområde 23;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 24_en;anbefalt term 24_nn;anbefalt term 24_nb;tillatt term 24_nb;tillatt term 24_nn;tillatt term 24_en;frarådet term 24_nb;frarådet term 24_nn;frarådet term 24_en;definisjon 24_nb;definisjon 24_nn;definisjon 24_en;egendefinert;;;definisjon for allmennheten 24_nb;definisjon for allmennheten 24_nn;definisjon for allmennheten 24_en;sitatFraKilde;Tittel på kilde_allmennheten|http://kildesitatallmennhetenuri.no/;Tittel på kilde nr. 2_allmennheten|http://kildesitatallmennhetenuri2.no/;definisjon for spesialister 24_nb;definisjon for spesialister 24_nn;definisjon_for_spesialister24_en;basertPaaKilde;Tittel på kilde_spesialister|http://kildebasertspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildebasertspesialisteruri2.no/;merknad24_nb;merknad24_nn;merknad24_en;eksempel24_nb;eksempel24_nn;eksempel24_en;fagområde2_nb;fagområde2_nn;fagområde2_en;http://lenketilverdiomraade24.no;Tittel verdiområde 24;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 25_en;anbefalt term 25_nn;anbefalt term 25_nb;tillatt term 25_nb;tillatt term 25_nn;tillatt term 25_en;frarådet term 25_nb;frarådet term 25_nn;frarådet term 25_en;definisjon 25_nb;definisjon 25_nn;definisjon 25_en;egendefinert;;;definisjon for allmennheten 25_nb;definisjon for allmennheten 25_nn;definisjon for allmennheten 25_en;sitatFraKilde;Tittel på kilde_allmennheten|http://kildesitatallmennhetenuri.no/;Tittel på kilde nr. 2_allmennheten|http://kildesitatallmennhetenuri2.no/;definisjon for spesialister 25_nb;definisjon for spesialister 25_nn;definisjon_for_spesialister25_en;egendefinert;;;merknad25_nb;merknad25_nn;merknad25_en;eksempel25_nb;eksempel25_nn;eksempel25_en;fagområde3_nb;fagområde3_nn;fagområde3_en;http://lenketilverdiomraade25.no;Tittel verdiområde 25;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 26_en;anbefalt term 26_nn;anbefalt term 26_nb;tillatt term 26_nb;tillatt term 26_nn;tillatt term 26_en;frarådet term 26_nb;frarådet term 26_nn;frarådet term 26_en;definisjon 26_nb;definisjon 26_nn;definisjon 26_en;egendefinert;;;definisjon for allmennheten 26_nb;definisjon for allmennheten 26_nn;definisjon for allmennheten 26_en;sitatFraKilde;Tittel på kilde_allmennheten|http://kildesitatallmennhetenuri.no/;Tittel på kilde nr. 2_allmennheten|http://kildesitatallmennhetenuri2.no/;definisjon for spesialister 26_nb;definisjon for spesialister 26_nn;definisjon_for_spesialister26_en;egendefinert;;;merknad26_nb;merknad26_nn;merknad26_en;eksempel26_nb;eksempel26_nn;eksempel26_en;fagområde4_nb;fagområde4_nn;fagområde4_en;http://lenketilverdiomraade26.no;Tittel verdiområde 26;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 27_en;anbefalt term 27_nn;anbefalt term 27_nb;tillatt term 27_nb;tillatt term 27_nn;tillatt term 27_en;frarådet term 27_nb;frarådet term 27_nn;frarådet term 27_en;definisjon 27_nb;definisjon 27_nn;definisjon 27_en;basertPaaKilde;Tittel på kilde|http://kildebaserturi.no/;Tittel på kilde nr. 2|http://kildebaserturi2.no/;definisjon for allmennheten 27_nb;definisjon for allmennheten 27_nn;definisjon for allmennheten 27_en;egendefinert;;;definisjon for spesialister 27_nb;definisjon for spesialister 27_nn;definisjon_for_spesialister27_en;sitatFraKilde;Tittel på kilde_spesialister|http://kildesitatspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildesitatspesialisteruri2.no/;merknad27_nb;merknad27_nn;merknad27_en;eksempel27_nb;eksempel27_nn;eksempel27_en;fagområde5_nb;fagområde5_nn;fagområde5_en;http://lenketilverdiomraade27.no;Tittel verdiområde 27;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 28_en;anbefalt term 28_nn;anbefalt term 28_nb;tillatt term 28_nb;tillatt term 28_nn;tillatt term 28_en;frarådet term 28_nb;frarådet term 28_nn;frarådet term 28_en;definisjon 28_nb;definisjon 28_nn;definisjon 28_en;egendefinert;;;definisjon for allmennheten 28_nb;definisjon for allmennheten 28_nn;definisjon for allmennheten 28_en;sitatFraKilde;Tittel på kilde_allmennheten|http://kildesitatallmennhetenuri.no/;Tittel på kilde nr. 2_allmennheten|http://kildesitatallmennhetenuri2.no/;definisjon for spesialister 28_nb;definisjon for spesialister 28_nn;definisjon_for_spesialister28_en;egendefinert;;;merknad28_nb;merknad28_nn;merknad28_en;eksempel28_nb;eksempel28_nn;eksempel28_en;fagområde6_nb;fagområde6_nn;fagområde6_en;http://lenketilverdiomraade28.no;Tittel verdiområde 28;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 29_en;anbefalt term 29_nn;anbefalt term 29_nb;tillatt term 29_nb;tillatt term 29_nn;tillatt term 29_en;frarådet term 29_nb;frarådet term 29_nn;frarådet term 29_en;definisjon 29_nb;definisjon 29_nn;definisjon 29_en;sitatFraKilde;Tittel på kilde|http://kildesitaturi.no/;Tittel på kilde nr. 2|http://kildesitaturi2.no/;definisjon for allmennheten 29_nb;definisjon for allmennheten 29_nn;definisjon for allmennheten 29_en;sitatFraKilde;Tittel på kilde_allmennheten|http://kildesitatallmennhetenuri.no/;Tittel på kilde nr. 2_allmennheten|http://kildesitatallmennhetenuri2.no/;definisjon for spesialister 29_nb;definisjon for spesialister 29_nn;definisjon_for_spesialister29_en;basertPaaKilde;Tittel på kilde_spesialister|http://kildebasertspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildebasertspesialisteruri2.no/;merknad29_nb;merknad29_nn;merknad29_en;eksempel29_nb;eksempel29_nn;eksempel29_en;fagområde7_nb;fagområde7_nn;fagområde7_en;http://lenketilverdiomraade29.no;Tittel verdiområde 29;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 30_en;anbefalt term 30_nn;anbefalt term 30_nb;tillatt term 30_nb;tillatt term 30_nn;tillatt term 30_en;frarådet term 30_nb;frarådet term 30_nn;frarådet term 30_en;definisjon 30_nb;definisjon 30_nn;definisjon 30_en;sitatFraKilde;Tittel på kilde|http://kildesitaturi.no/;Tittel på kilde nr. 2|http://kildesitaturi2.no/;definisjon for allmennheten 30_nb;definisjon for allmennheten 30_nn;definisjon for allmennheten 30_en;basertPaaKilde;Tittel på kilde_allmennheten|http://kildebasertallmennhetenuri.no/;Tittel på kilde nr. 2_allmennheten|http://kildebasertallmennhetenuri2.no/;definisjon for spesialister 30_nb;definisjon for spesialister 30_nn;definisjon_for_spesialister30_en;sitatFraKilde;Tittel på kilde_spesialister|http://kildesitatspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildesitatspesialisteruri2.no/;merknad30_nb;merknad30_nn;merknad30_en;eksempel30_nb;eksempel30_nn;eksempel30_en;fagområde8_nb;fagområde8_nn;fagområde8_en;http://lenketilverdiomraade30.no;Tittel verdiområde 30;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 31_en;anbefalt term 31_nn;anbefalt term 31_nb;tillatt term 31_nb;tillatt term 31_nn;tillatt term 31_en;frarådet term 31_nb;frarådet term 31_nn;frarådet term 31_en;definisjon 31_nb;definisjon 31_nn;definisjon 31_en;egendefinert;;;definisjon for allmennheten 31_nb;definisjon for allmennheten 31_nn;definisjon for allmennheten 31_en;egendefinert;;;definisjon for spesialister 31_nb;definisjon for spesialister 31_nn;definisjon_for_spesialister31_en;egendefinert;;;merknad31_nb;merknad31_nn;merknad31_en;eksempel31_nb;eksempel31_nn;eksempel31_en;fagområde9_nb;fagområde9_nn;fagområde9_en;http://lenketilverdiomraade31.no;Tittel verdiområde 31;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 32_en;anbefalt term 32_nn;anbefalt term 32_nb;tillatt term 32_nb;tillatt term 32_nn;tillatt term 32_en;frarådet term 32_nb;frarådet term 32_nn;frarådet term 32_en;definisjon 32_nb;definisjon 32_nn;definisjon 32_en;basertPaaKilde;Tittel på kilde|http://kildebaserturi.no/;Tittel på kilde nr. 2|http://kildebaserturi2.no/;definisjon for allmennheten 32_nb;definisjon for allmennheten 32_nn;definisjon for allmennheten 32_en;egendefinert;;;definisjon for spesialister 32_nb;definisjon for spesialister 32_nn;definisjon_for_spesialister32_en;basertPaaKilde;Tittel på kilde_spesialister|http://kildebasertspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildebasertspesialisteruri2.no/;merknad32_nb;merknad32_nn;merknad32_en;eksempel32_nb;eksempel32_nn;eksempel32_en;fagområde10_nb;fagområde10_nn;fagområde10_en;http://lenketilverdiomraade32.no;Tittel verdiområde 32;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 33_en;anbefalt term 33_nn;anbefalt term 33_nb;tillatt term 33_nb;tillatt term 33_nn;tillatt term 33_en;frarådet term 33_nb;frarådet term 33_nn;frarådet term 33_en;definisjon 33_nb;definisjon 33_nn;definisjon 33_en;sitatFraKilde;Tittel på kilde|http://kildesitaturi.no/;Tittel på kilde nr. 2|http://kildesitaturi2.no/;definisjon for allmennheten 33_nb;definisjon for allmennheten 33_nn;definisjon for allmennheten 33_en;sitatFraKilde;Tittel på kilde_allmennheten|http://kildesitatallmennhetenuri.no/;Tittel på kilde nr. 2_allmennheten|http://kildesitatallmennhetenuri2.no/;definisjon for spesialister 33_nb;definisjon for spesialister 33_nn;definisjon_for_spesialister33_en;basertPaaKilde;Tittel på kilde_spesialister|http://kildebasertspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildebasertspesialisteruri2.no/;merknad33_nb;merknad33_nn;merknad33_en;eksempel33_nb;eksempel33_nn;eksempel33_en;fagområde11_nb;fagområde11_nn;fagområde11_en;http://lenketilverdiomraade33.no;Tittel verdiområde 33;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 34_en;anbefalt term 34_nn;anbefalt term 34_nb;tillatt term 34_nb;tillatt term 34_nn;tillatt term 34_en;frarådet term 34_nb;frarådet term 34_nn;frarådet term 34_en;definisjon 34_nb;definisjon 34_nn;definisjon 34_en;egendefinert;;;definisjon for allmennheten 34_nb;definisjon for allmennheten 34_nn;definisjon for allmennheten 34_en;basertPaaKilde;Tittel på kilde_allmennheten|http://kildebasertallmennhetenuri.no/;Tittel på kilde nr. 2_allmennheten|http://kildebasertallmennhetenuri2.no/;definisjon for spesialister 34_nb;definisjon for spesialister 34_nn;definisjon_for_spesialister34_en;egendefinert;;;merknad34_nb;merknad34_nn;merknad34_en;eksempel34_nb;eksempel34_nn;eksempel34_en;fagområde12_nb;fagområde12_nn;fagområde12_en;http://lenketilverdiomraade34.no;Tittel verdiområde 34;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 35_en;anbefalt term 35_nn;anbefalt term 35_nb;tillatt term 35_nb;tillatt term 35_nn;tillatt term 35_en;frarådet term 35_nb;frarådet term 35_nn;frarådet term 35_en;definisjon 35_nb;definisjon 35_nn;definisjon 35_en;egendefinert;;;definisjon for allmennheten 35_nb;definisjon for allmennheten 35_nn;definisjon for allmennheten 35_en;egendefinert;;;definisjon for spesialister 35_nb;definisjon for spesialister 35_nn;definisjon_for_spesialister35_en;basertPaaKilde;Tittel på kilde_spesialister|http://kildebasertspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildebasertspesialisteruri2.no/;merknad35_nb;merknad35_nn;merknad35_en;eksempel35_nb;eksempel35_nn;eksempel35_en;fagområde2_nb;fagområde2_nn;fagområde2_en;http://lenketilverdiomraade35.no;Tittel verdiområde 35;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 36_en;anbefalt term 36_nn;anbefalt term 36_nb;tillatt term 36_nb;tillatt term 36_nn;tillatt term 36_en;frarådet term 36_nb;frarådet term 36_nn;frarådet term 36_en;definisjon 36_nb;definisjon 36_nn;definisjon 36_en;sitatFraKilde;Tittel på kilde|http://kildesitaturi.no/;Tittel på kilde nr. 2|http://kildesitaturi2.no/;definisjon for allmennheten 36_nb;definisjon for allmennheten 36_nn;definisjon for allmennheten 36_en;basertPaaKilde;Tittel på kilde_allmennheten|http://kildebasertallmennhetenuri.no/;Tittel på kilde nr. 2_allmennheten|http://kildebasertallmennhetenuri2.no/;definisjon for spesialister 36_nb;definisjon for spesialister 36_nn;definisjon_for_spesialister36_en;sitatFraKilde;Tittel på kilde_spesialister|http://kildesitatspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildesitatspesialisteruri2.no/;merknad36_nb;merknad36_nn;merknad36_en;eksempel36_nb;eksempel36_nn;eksempel36_en;fagområde3_nb;fagområde3_nn;fagområde3_en;http://lenketilverdiomraade36.no;Tittel verdiområde 36;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 37_en;anbefalt term 37_nn;anbefalt term 37_nb;tillatt term 37_nb;tillatt term 37_nn;tillatt term 37_en;frarådet term 37_nb;frarådet term 37_nn;frarådet term 37_en;definisjon 37_nb;definisjon 37_nn;definisjon 37_en;egendefinert;;;definisjon for allmennheten 37_nb;definisjon for allmennheten 37_nn;definisjon for allmennheten 37_en;egendefinert;;;definisjon for spesialister 37_nb;definisjon for spesialister 37_nn;definisjon_for_spesialister37_en;sitatFraKilde;Tittel på kilde_spesialister|http://kildesitatspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildesitatspesialisteruri2.no/;merknad37_nb;merknad37_nn;merknad37_en;eksempel37_nb;eksempel37_nn;eksempel37_en;fagområde4_nb;fagområde4_nn;fagområde4_en;http://lenketilverdiomraade37.no;Tittel verdiområde 37;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 38_en;anbefalt term 38_nn;anbefalt term 38_nb;tillatt term 38_nb;tillatt term 38_nn;tillatt term 38_en;frarådet term 38_nb;frarådet term 38_nn;frarådet term 38_en;definisjon 38_nb;definisjon 38_nn;definisjon 38_en;basertPaaKilde;Tittel på kilde|http://kildebaserturi.no/;Tittel på kilde nr. 2|http://kildebaserturi2.no/;definisjon for allmennheten 38_nb;definisjon for allmennheten 38_nn;definisjon for allmennheten 38_en;egendefinert;;;definisjon for spesialister 38_nb;definisjon for spesialister 38_nn;definisjon_for_spesialister38_en;basertPaaKilde;Tittel på kilde_spesialister|http://kildebasertspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildebasertspesialisteruri2.no/;merknad38_nb;merknad38_nn;merknad38_en;eksempel38_nb;eksempel38_nn;eksempel38_en;fagområde5_nb;fagområde5_nn;fagområde5_en;http://lenketilverdiomraade38.no;Tittel verdiområde 38;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 39_en;anbefalt term 39_nn;anbefalt term 39_nb;tillatt term 39_nb;tillatt term 39_nn;tillatt term 39_en;frarådet term 39_nb;frarådet term 39_nn;frarådet term 39_en;definisjon 39_nb;definisjon 39_nn;definisjon 39_en;basertPaaKilde;Tittel på kilde|http://kildebaserturi.no/;Tittel på kilde nr. 2|http://kildebaserturi2.no/;definisjon for allmennheten 39_nb;definisjon for allmennheten 39_nn;definisjon for allmennheten 39_en;egendefinert;;;definisjon for spesialister 39_nb;definisjon for spesialister 39_nn;definisjon_for_spesialister39_en;basertPaaKilde;Tittel på kilde_spesialister|http://kildebasertspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildebasertspesialisteruri2.no/;merknad39_nb;merknad39_nn;merknad39_en;eksempel39_nb;eksempel39_nn;eksempel39_en;fagområde6_nb;fagområde6_nn;fagområde6_en;http://lenketilverdiomraade39.no;Tittel verdiområde 39;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 40_en;anbefalt term 40_nn;anbefalt term 40_nb;tillatt term 40_nb;tillatt term 40_nn;tillatt term 40_en;frarådet term 40_nb;frarådet term 40_nn;frarådet term 40_en;definisjon 40_nb;definisjon 40_nn;definisjon 40_en;egendefinert;;;definisjon for allmennheten 40_nb;definisjon for allmennheten 40_nn;definisjon for allmennheten 40_en;basertPaaKilde;Tittel på kilde_allmennheten|http://kildebasertallmennhetenuri.no/;Tittel på kilde nr. 2_allmennheten|http://kildebasertallmennhetenuri2.no/;definisjon for spesialister 40_nb;definisjon for spesialister 40_nn;definisjon_for_spesialister40_en;sitatFraKilde;Tittel på kilde_spesialister|http://kildesitatspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildesitatspesialisteruri2.no/;merknad40_nb;merknad40_nn;merknad40_en;eksempel40_nb;eksempel40_nn;eksempel40_en;fagområde7_nb;fagområde7_nn;fagområde7_en;http://lenketilverdiomraade40.no;Tittel verdiområde 40;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 41_en;anbefalt term 41_nn;anbefalt term 41_nb;tillatt term 41_nb;tillatt term 41_nn;tillatt term 41_en;frarådet term 41_nb;frarådet term 41_nn;frarådet term 41_en;definisjon 41_nb;definisjon 41_nn;definisjon 41_en;egendefinert;;;definisjon for allmennheten 41_nb;definisjon for allmennheten 41_nn;definisjon for allmennheten 41_en;basertPaaKilde;Tittel på kilde_allmennheten|http://kildebasertallmennhetenuri.no/;Tittel på kilde nr. 2_allmennheten|http://kildebasertallmennhetenuri2.no/;definisjon for spesialister 41_nb;definisjon for spesialister 41_nn;definisjon_for_spesialister41_en;basertPaaKilde;Tittel på kilde_spesialister|http://kildebasertspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildebasertspesialisteruri2.no/;merknad41_nb;merknad41_nn;merknad41_en;eksempel41_nb;eksempel41_nn;eksempel41_en;fagområde8_nb;fagområde8_nn;fagområde8_en;http://lenketilverdiomraade41.no;Tittel verdiområde 41;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
